date,state,trend_score
2017-01-01,Michigan,21.926910299003325
2017-01-08,Michigan,10.963455149501662
2017-01-15,Michigan,21.926910299003325
2017-01-22,Michigan,10.963455149501662
2017-01-29,Michigan,21.926910299003325
2017-02-05,Michigan,10.963455149501662
2017-02-12,Michigan,10.963455149501662
2017-02-19,Michigan,0.0
2017-02-26,Michigan,0.0
2017-03-05,Michigan,0.0
2017-03-12,Michigan,10.963455149501662
2017-03-19,Michigan,10.963455149501662
2017-03-26,Michigan,10.963455149501662
2017-04-02,Michigan,10.963455149501662
2017-04-09,Michigan,10.963455149501662
2017-04-16,Michigan,10.963455149501662
2017-04-23,Michigan,10.963455149501662
2017-04-30,Michigan,0.0
2017-05-07,Michigan,10.963455149501662
2017-05-14,Michigan,10.963455149501662
2017-05-21,Michigan,10.963455149501662
2017-05-28,Michigan,10.963455149501662
2017-06-04,Michigan,10.963455149501662
2017-06-11,Michigan,21.926910299003325
2017-06-18,Michigan,21.926910299003325
2017-06-25,Michigan,10.963455149501662
2017-07-02,Michigan,10.963455149501662
2017-07-09,Michigan,10.963455149501662
2017-07-16,Michigan,10.963455149501662
2017-07-23,Michigan,10.963455149501662
2017-07-30,Michigan,0.0
2017-08-06,Michigan,10.963455149501662
2017-08-13,Michigan,0.0
2017-08-20,Michigan,10.963455149501662
2017-08-27,Michigan,0.0
2017-09-03,Michigan,10.963455149501662
2017-09-10,Michigan,10.963455149501662
2017-09-17,Michigan,21.926910299003325
2017-09-24,Michigan,10.963455149501662
2017-10-01,Michigan,10.963455149501662
2017-10-08,Michigan,10.963455149501662
2017-10-15,Michigan,10.963455149501662
2017-10-22,Michigan,10.963455149501662
2017-10-29,Michigan,10.963455149501662
2017-11-05,Michigan,10.963455149501662
2017-11-12,Michigan,10.963455149501662
2017-11-19,Michigan,0.0
2017-11-26,Michigan,10.963455149501662
2017-12-03,Michigan,21.926910299003325
2017-12-10,Michigan,21.926910299003325
2017-12-17,Michigan,10.963455149501662
2017-12-24,Michigan,21.926910299003325
2017-12-31,Michigan,21.926910299003325
2018-01-07,Michigan,21.926910299003325
2018-01-14,Michigan,10.963455149501662
2018-01-21,Michigan,21.926910299003325
2018-01-28,Michigan,21.926910299003325
2018-02-04,Michigan,21.926910299003325
2018-02-11,Michigan,21.926910299003325
2018-02-18,Michigan,10.963455149501662
2018-02-25,Michigan,10.963455149501662
2018-03-04,Michigan,10.963455149501662
2018-03-11,Michigan,10.963455149501662
2018-03-18,Michigan,10.963455149501662
2018-03-25,Michigan,10.963455149501662
2018-04-01,Michigan,0.0
2018-04-08,Michigan,10.963455149501662
2018-04-15,Michigan,10.963455149501662
2018-04-22,Michigan,10.963455149501662
2018-04-29,Michigan,21.926910299003325
2018-05-06,Michigan,10.963455149501662
2018-05-13,Michigan,10.963455149501662
2018-05-20,Michigan,0.0
2018-05-27,Michigan,21.926910299003325
2018-06-03,Michigan,0.0
2018-06-10,Michigan,0.0
2018-06-17,Michigan,10.963455149501662
2018-06-24,Michigan,10.963455149501662
2018-07-01,Michigan,10.963455149501662
2018-07-08,Michigan,21.926910299003325
2018-07-15,Michigan,10.963455149501662
2018-07-22,Michigan,0.0
2018-07-29,Michigan,21.926910299003325
2018-08-05,Michigan,10.963455149501662
2018-08-12,Michigan,0.0
2018-08-19,Michigan,0.0
2018-08-26,Michigan,10.963455149501662
2018-09-02,Michigan,0.0
2018-09-09,Michigan,10.963455149501662
2018-09-16,Michigan,10.963455149501662
2018-09-23,Michigan,21.926910299003325
2018-09-30,Michigan,21.926910299003325
2018-10-07,Michigan,10.963455149501662
2018-10-14,Michigan,10.963455149501662
2018-10-21,Michigan,10.963455149501662
2018-10-28,Michigan,21.926910299003325
2018-11-04,Michigan,10.963455149501662
2018-11-11,Michigan,10.963455149501662
2018-11-18,Michigan,32.89036544850499
2018-11-25,Michigan,21.926910299003325
2018-12-02,Michigan,21.926910299003325
2018-12-09,Michigan,10.963455149501662
2018-12-16,Michigan,21.926910299003325
2018-12-23,Michigan,10.963455149501662
2018-12-30,Michigan,32.89036544850499
2019-01-06,Michigan,21.926910299003325
2019-01-13,Michigan,32.89036544850499
2019-01-20,Michigan,21.926910299003325
2019-01-27,Michigan,21.926910299003325
2019-02-03,Michigan,10.963455149501662
2019-02-10,Michigan,21.926910299003325
2019-02-17,Michigan,10.963455149501662
2019-02-24,Michigan,21.926910299003325
2019-03-03,Michigan,10.963455149501662
2019-03-10,Michigan,10.963455149501662
2019-03-17,Michigan,10.963455149501662
2019-03-24,Michigan,21.926910299003325
2019-03-31,Michigan,10.963455149501662
2019-04-07,Michigan,10.963455149501662
2019-04-14,Michigan,21.926910299003325
2019-04-21,Michigan,10.963455149501662
2019-04-28,Michigan,10.963455149501662
2019-05-05,Michigan,10.963455149501662
2019-05-12,Michigan,10.963455149501662
2019-05-19,Michigan,0.0
2019-05-26,Michigan,10.963455149501662
2019-06-02,Michigan,21.926910299003325
2019-06-09,Michigan,10.963455149501662
2019-06-16,Michigan,10.963455149501662
2019-06-23,Michigan,10.963455149501662
2019-06-30,Michigan,21.926910299003325
2019-07-07,Michigan,21.926910299003325
2019-07-14,Michigan,10.963455149501662
2019-07-21,Michigan,10.963455149501662
2019-07-28,Michigan,21.926910299003325
2019-08-04,Michigan,21.926910299003325
2019-08-11,Michigan,10.963455149501662
2019-08-18,Michigan,0.0
2019-08-25,Michigan,10.963455149501662
2019-09-01,Michigan,10.963455149501662
2019-09-08,Michigan,10.963455149501662
2019-09-15,Michigan,21.926910299003325
2019-09-22,Michigan,21.926910299003325
2019-09-29,Michigan,10.963455149501662
2019-10-06,Michigan,21.926910299003325
2019-10-13,Michigan,21.926910299003325
2019-10-20,Michigan,10.963455149501662
2019-10-27,Michigan,21.926910299003325
2019-11-03,Michigan,21.926910299003325
2019-11-10,Michigan,21.926910299003325
2019-11-17,Michigan,21.926910299003325
2019-11-24,Michigan,10.963455149501662
2019-12-01,Michigan,21.926910299003325
2019-12-08,Michigan,21.926910299003325
2019-12-15,Michigan,21.926910299003325
2019-12-22,Michigan,21.926910299003325
2019-12-29,Michigan,21.926910299003325
2020-01-05,Michigan,21.926910299003325
2020-01-12,Michigan,10.963455149501662
2020-01-19,Michigan,21.926910299003325
2020-01-26,Michigan,10.963455149501662
2020-02-02,Michigan,10.963455149501662
2020-02-09,Michigan,10.963455149501662
2020-02-16,Michigan,10.963455149501662
2020-02-23,Michigan,21.926910299003325
2020-03-01,Michigan,10.963455149501662
2020-03-08,Michigan,21.926910299003325
2020-03-15,Michigan,438.5382059800665
2020-03-22,Michigan,1052.4916943521596
2020-03-29,Michigan,1096.3455149501663
2020-04-05,Michigan,646.843853820598
2020-04-12,Michigan,526.2458471760798
2020-04-19,Michigan,361.79401993355486
2020-04-26,Michigan,339.8671096345515
2020-05-03,Michigan,296.0132890365449
2020-05-10,Michigan,296.0132890365449
2020-05-17,Michigan,252.15946843853823
2020-05-24,Michigan,219.26910299003325
2020-05-31,Michigan,186.37873754152827
2020-06-07,Michigan,142.52491694352162
2020-06-14,Michigan,142.52491694352162
2020-06-21,Michigan,142.52491694352162
2020-06-28,Michigan,142.52491694352162
2020-07-05,Michigan,131.56146179401995
2020-07-12,Michigan,109.63455149501662
2020-07-19,Michigan,109.63455149501662
2020-07-26,Michigan,76.74418604651163
2020-08-02,Michigan,76.74418604651163
2020-08-09,Michigan,87.7076411960133
2020-08-16,Michigan,65.78073089700997
2020-08-23,Michigan,65.78073089700997
2020-08-30,Michigan,65.78073089700997
2020-09-06,Michigan,65.78073089700997
2020-09-13,Michigan,65.78073089700997
2020-09-20,Michigan,76.74418604651163
2020-09-27,Michigan,65.78073089700997
2020-10-04,Michigan,54.81727574750831
2020-10-11,Michigan,54.81727574750831
2020-10-18,Michigan,54.81727574750831
2020-10-25,Michigan,54.81727574750831
2020-11-01,Michigan,32.89036544850499
2020-11-08,Michigan,65.78073089700997
2020-11-15,Michigan,87.7076411960133
2020-11-22,Michigan,54.81727574750831
2020-11-29,Michigan,65.78073089700997
2020-12-06,Michigan,76.74418604651163
2020-12-13,Michigan,65.78073089700997
2020-12-20,Michigan,76.74418604651163
2020-12-27,Michigan,120.59800664451828
2021-01-03,Michigan,87.7076411960133
2021-01-10,Michigan,87.7076411960133
2021-01-17,Michigan,76.74418604651163
2021-01-24,Michigan,76.74418604651163
2021-01-31,Michigan,98.67109634551497
2021-02-07,Michigan,76.74418604651163
2021-02-14,Michigan,65.78073089700997
2021-02-21,Michigan,54.81727574750831
2021-02-28,Michigan,54.81727574750831
2021-03-07,Michigan,54.81727574750831
2021-03-14,Michigan,54.81727574750831
2021-03-21,Michigan,54.81727574750831
2021-03-28,Michigan,65.78073089700997
2021-04-04,Michigan,54.81727574750831
2021-04-11,Michigan,65.78073089700997
2021-04-18,Michigan,54.81727574750831
2021-04-25,Michigan,32.89036544850499
2021-05-02,Michigan,54.81727574750831
2021-05-09,Michigan,43.85382059800665
2021-05-16,Michigan,43.85382059800665
2021-05-23,Michigan,32.89036544850499
2021-05-30,Michigan,21.926910299003325
2021-06-06,Michigan,32.89036544850499
2021-06-13,Michigan,32.89036544850499
2021-06-20,Michigan,21.926910299003325
2021-06-27,Michigan,32.89036544850499
2021-07-04,Michigan,32.89036544850499
2021-07-11,Michigan,21.926910299003325
2021-07-18,Michigan,32.89036544850499
2021-07-25,Michigan,21.926910299003325
2021-08-08,Michigan,32.89036544850499
2021-08-15,Michigan,32.89036544850499
2021-08-22,Michigan,21.926910299003325
2021-08-29,Michigan,21.926910299003325
2021-09-05,Michigan,32.89036544850499
2021-09-12,Michigan,32.89036544850499
2021-09-19,Michigan,32.89036544850499
2021-09-26,Michigan,32.89036544850499
2021-10-03,Michigan,21.926910299003325
2021-10-10,Michigan,21.926910299003325
2021-10-17,Michigan,10.963455149501662
2021-10-24,Michigan,10.963455149501662
2021-10-31,Michigan,21.926910299003325
2021-11-07,Michigan,21.926910299003325
2021-11-14,Michigan,21.926910299003325
2021-11-21,Michigan,0.0
2021-11-28,Michigan,21.926910299003325
2021-12-05,Michigan,21.926910299003325
2021-12-12,Michigan,21.926910299003325
2021-12-19,Michigan,10.963455149501662
2021-12-26,Michigan,21.926910299003325
2021-01-01,Michigan,100.0
2021-02-01,Michigan,89.0
2021-03-01,Michigan,71.0
2021-04-01,Michigan,66.0
2021-05-01,Michigan,55.0
2021-06-01,Michigan,36.0
2021-07-01,Michigan,33.0
2021-08-01,Michigan,33.0
2021-09-01,Michigan,41.0
2021-10-01,Michigan,21.0
2021-11-01,Michigan,24.0
2021-12-01,Michigan,24.0
2022-01-01,Michigan,30.0
2022-02-01,Michigan,30.0
2022-03-01,Michigan,18.0
2022-04-01,Michigan,16.0
2022-05-01,Michigan,13.0
2022-06-01,Michigan,14.0
2022-07-01,Michigan,15.0
2022-08-01,Michigan,13.0
2022-09-01,Michigan,15.0
2022-10-01,Michigan,16.0
2022-11-01,Michigan,14.0
2022-12-01,Michigan,17.0
2023-01-01,Michigan,18.0
2023-02-01,Michigan,14.0
2023-03-01,Michigan,13.0
2023-04-01,Michigan,14.0
2023-05-01,Michigan,17.0
2023-06-01,Michigan,19.0
2023-07-01,Michigan,15.0
2023-08-01,Michigan,12.0
2023-09-01,Michigan,14.0
2023-10-01,Michigan,19.0
2023-11-01,Michigan,15.0
2023-12-01,Michigan,23.0
2024-01-01,Michigan,20.0
2024-02-01,Michigan,17.0
2024-03-01,Michigan,18.0
2024-04-01,Michigan,17.0
2024-05-01,Michigan,13.0
2024-06-01,Michigan,16.0
2024-07-01,Michigan,18.0
2024-08-01,Michigan,17.0
2024-09-01,Michigan,15.0
2024-10-01,Michigan,15.0
2024-11-01,Michigan,15.0
2024-12-01,Michigan,24.0
2025-01-01,Michigan,22.0
2025-02-01,Michigan,20.0
2025-03-01,Michigan,19.0
2025-04-01,Michigan,20.0
2025-05-01,Michigan,19.0
2025-06-01,Michigan,25.0
2025-07-01,Michigan,20.0
2025-08-01,Michigan,15.0
2025-09-01,Michigan,18.0
2025-10-01,Michigan,28.0
2025-11-01,Michigan,23.0
2025-12-01,Michigan,29.0
2026-01-01,Michigan,31.0
2026-02-01,Michigan,29.0
2026-03-01,Michigan,21.0
2026-04-01,Michigan,22.0
2026-05-01,Michigan,18.0
